Time [s],Channel 2
-3.753275000,1
0.000000000,0
0.008918000,1
0.013378000,0
0.013954000,1
0.014471000,0
0.015045000,1
0.016683000,0
0.017258000,1
0.017775000,0
0.018347000,1
0.018881000,0
0.019454000,1
0.019989000,0
0.020562000,1
0.021079000,0
0.021652000,1
0.022169000,0
0.022743000,1
0.023261000,0
0.023833000,1
0.025489000,0
0.026063000,1
0.026580000,0
0.027153000,1
0.028791000,0
0.029367000,1
0.031005000,0
0.031579000,1
0.033218000,0
0.033793000,1
0.035432000,0
0.036006000,1
0.037644000,0
0.038219000,1
0.038737000,0
0.039310000,1
0.039827000,0
0.040401000,1
0.042040000,0
0.042614000,1
0.044252000,0
0.044827000,1
0.045344000,0
0.045917000,1
0.046450000,0
0.047024000,1
0.047557000,0
0.048129000,1
0.049786000,0
0.050361000,1
0.050877000,0
0.051451000,1
0.053105000,0
0.053679000,1
0.054212000,0
0.054786000,1
0.055321000,0
0.055894000,1
0.057548000,0
0.058123000,1
0.059778000,0
0.060352000,1
0.062006000,0
0.062581000,1
0.063098000,0
0.063672000,1
0.065310000,0
0.065883000,1
0.107725000,0
0.116668000,1
0.118923000,0
0.119497000,1
0.215275000,0
0.224216000,1
0.226471000,0
0.227045000,1
0.572101000,1
